index,speaker_num,azimuth,elevation,terminal_bank,terminal_num,da_channel,mpx_channel
0,44,-20,20,1,1,1,1
1,63,-100,0,1,3,1,2
2,103,30,-20,1,5,1,3
3,129,80,-50,1,7,1,4
4,22,50,50,1,9,1,5
5,133,-30,-60,1,11,1,6
6,45,-10,20,1,13,2,1
7,64,-90,0,1,15,2,2
8,112,20,-30,1,17,2,3
9,3,100,80,1,19,2,4
10,114,80,-30,1,21,2,5
11,39,50,30,1,23,2,6
12,46,0,20,1,27,3,1
13,65,-80,0,1,29,3,2
14,111,10,-30,1,31,3,3
15,4,-70,70,1,33,3,4
16,24,100,50,1,35,3,5
17,94,80,-10,1,37,3,6
18,47,10,20,1,39,4,1
19,66,-70,0,1,41,4,2
20,109,-10,-30,1,43,4,3
21,5,-20,70,1,45,4,4
22,51,100,20,1,47,4,5
23,23,80,50,1,49,4,6
24,48,20,20,2,1,5,1
25,67,-60,0,2,3,5,2
26,140,0,-70,2,5,5,3
27,108,-20,-30,2,7,5,4
28,8,70,70,2,9,5,5
29,105,100,-20,2,11,5,6
30,55,-20,10,2,13,6,1
31,68,-50,0,2,15,6,2
32,134,0,-60,2,17,6,3
33,92,30,-10,2,19,6,4
34,7,20,70,2,21,6,5
35,130,100,-50,2,23,6,6
36,56,-10,10,2,27,7,1
37,69,-40,0,2,29,7,2
38,126,0,-50,2,31,7,3
39,144,100,-80,2,33,7,4
40,40,80,30,2,35,7,5
41,93,50,-10,2,37,7,6
42,57,0,10,2,39,8,1
43,70,-30,0,2,41,8,2
44,15,90,60,2,43,8,3
45,62,80,10,2,45,8,4
46,132,-60,-60,2,47,8,5
47,113,50,-30,2,49,8,6
48,58,10,10,3,1,9,1
49,76,30,0,3,3,9,2
50,118,0,-40,3,5,9,3
51,9,-90,60,3,7,9,4
52,31,90,40,3,9,9,5
53,128,50,-50,3,11,9,6
54,59,20,10,3,13,10,1
55,77,40,0,3,15,10,2
56,110,0,-30,3,17,10,3
57,25,-90,40,3,19,10,4
58,121,90,-40,3,21,10,5
59,50,70,20,3,23,10,6
60,71,-20,0,3,27,11,1
61,60,30,10,3,29,11,2
62,115,-90,-40,3,31,11,3
63,137,90,-60,3,33,11,4
64,30,70,40,3,35,11,5
65,11,-30,60,3,37,11,6
66,72,-10,0,3,39,12,1
67,131,-90,-60,3,41,12,2
68,104,70,-20,3,43,12,3
69,18,-50,50,3,45,12,4
70,29,40,40,3,47,12,5
71,141,20,-70,3,49,12,6
72,74,10,0,4,1,13,1
73,17,-80,50,4,3,13,2
74,120,70,-40,4,5,13,3
75,96,-70,-20,4,7,13,4
76,85,-50,-10,4,9,13,5
77,135,30,-60,4,11,13,6
78,75,20,0,4,13,14,1
79,32,-80,30,4,15,14,2
80,142,70,-70,4,17,14,3
81,14,60,60,4,19,14,4
82,53,-50,10,4,21,14,5
83,119,40,-40,4,23,14,6
84,87,-20,-10,4,27,15,1
85,78,50,0,4,29,15,2
86,49,30,20,4,31,15,3
87,52,-80,10,4,33,15,4
88,136,60,-60,4,35,15,5
89,19,-20,50,4,37,15,6
90,88,-10,-10,4,39,16,1
91,79,60,0,4,41,16,2
92,43,-30,20,4,43,16,3
93,84,-80,-10,4,45,16,4
94,107,-50,-30,4,47,16,5
95,13,30,60,4,49,16,6
96,89,0,-10,5,1,17,1
97,80,70,0,5,3,17,2
98,54,-30,10,5,5,17,3
99,106,-80,-30,5,7,17,4
100,10,-60,60,5,9,17,5
101,61,50,10,5,11,17,6
102,90,10,-10,5,13,18,1
103,81,80,0,5,15,18,2
104,36,0,30,5,17,18,3
105,86,-30,-10,5,19,18,4
106,123,-80,-50,5,21,18,5
107,21,20,50,5,23,18,6
108,91,20,-10,5,27,19,1
109,82,90,0,5,29,19,2
110,28,0,40,5,31,19,3
111,97,-30,-20,5,33,19,4
112,1,-100,80,5,35,19,5
113,124,-50,-50,5,37,19,6
114,98,-20,-20,5,39,20,1
115,83,100,0,5,41,20,2
116,20,0,50,5,43,20,3
117,16,-100,50,5,45,20,4
118,138,-70,-70,5,47,20,5
119,33,-50,30,5,49,20,6
120,99,-10,-20,6,1,21,1
121,12,0,60,6,3,21,2
122,38,20,30,6,5,21,3
123,41,-100,20,6,7,21,4
124,116,-70,-40,6,9,21,5
125,127,20,-50,6,11,21,6
126,100,0,-20,6,13,22,1
127,37,10,30,6,15,22,2
128,95,-100,-20,6,17,22,3
129,27,-40,40,6,19,22,4
130,139,-20,-70,6,21,22,5
131,73,0,0,6,23,22,6
132,101,10,-20,6,27,23,1
133,6,0,70,6,29,23,2
134,35,-10,30,6,31,23,3
135,122,-100,-50,6,33,23,4
136,42,-70,20,6,35,23,5
137,117,-40,-40,6,37,23,6
138,102,20,-20,6,39,24,1
139,2,0,80,6,41,24,2
140,34,-20,30,6,43,24,3
141,143,-100,-80,6,45,24,4
142,26,-70,40,6,47,24,5
143,125,-20,-50,6,49,24,6
