date,owl,hemisphere,channel,azi,ele,azi_competitor,ele_competitor,region,stimulus_resp,base_resp,base_std,maxresp_latency,firstspk_latency,psth_driver,psth_competitor
2023-12-11,256,left,4,0,40,90,40,OT,36.38,19.96,14.242134671459894,1.03,1.024,[0.01  0.    0.045 ... 0.035 0.03  0.035],[0.025 0.025 0.04  ... 0.03  0.01  0.025]
2023-12-11,256,left,5,0,40,90,40,OT,29.765,16.71,9.846110907358296,1.03,1.024,[0.01  0.015 0.04  ... 0.01  0.005 0.005],[0.005 0.015 0.03  ... 0.005 0.03  0.025]
2023-12-11,256,left,8,0,40,90,40,OT,31.96,18.71,10.465939996006092,1.03,1.024,[0.02  0.03  0.03  ... 0.02  0.015 0.01 ],[0.025 0.02  0.025 ... 0.02  0.05  0.03 ]
2023-12-11,256,left,9,0,40,90,40,OT,48.3,25.14,17.533408111374126,1.03,1.024,[0.015 0.025 0.045 ... 0.04  0.03  0.02 ],[0.045 0.02  0.05  ... 0.03  0.02  0.02 ]
2023-12-11,256,left,10,0,40,90,40,OT,45.38,23.73,17.198462140551985,1.027,1.023,[0.025 0.025 0.03  ... 0.03  0.03  0.025],[0.025 0.015 0.03  ... 0.025 0.01  0.02 ]
2023-12-11,256,left,12,0,40,90,40,OT,62.91,25.445,24.129172696136933,1.026,1.022,[0.035 0.025 0.06  ... 0.035 0.025 0.04 ],[0.015 0.035 0.015 ... 0.04  0.02  0.045]
2023-12-11,256,left,13,0,40,90,40,OT,36.0,16.13,10.573698501470524,1.031,1.021,[0.005 0.05  0.02  ... 0.03  0.02  0.015],[0.02  0.01  0.02  ... 0.03  0.005 0.02 ]
2023-12-11,256,left,15,0,40,90,40,OT,70.53,28.65,25.538549293176384,1.028,1.021,[0.035 0.035 0.055 ... 0.02  0.04  0.035],[0.04  0.05  0.03  ... 0.025 0.025 0.02 ]
2023-12-11,256,left,16,0,40,90,40,OT,80.52,37.22,24.535720898314768,1.029,1.024,[0.035 0.05  0.055 ... 0.05  0.045 0.05 ],[0.07  0.03  0.07  ... 0.025 0.035 0.05 ]
2023-12-15,256,left,1,0,30,80,30,OT,28.53,20.11,14.947170300762616,1.026,1.019,[0.01  0.01  0.015 ... 0.02  0.01  0.03 ],[0.02  0.025 0.02  ... 0.02  0.    0.01 ]
2023-12-15,256,left,2,0,30,80,30,OT,17.86,13.7,8.803408430829505,1.026,1.022,[0.    0.    0.    ... 0.015 0.005 0.005],[0.02  0.005 0.005 ... 0.005 0.015 0.005]
2023-12-15,256,left,3,0,30,80,30,OT,27.445,23.71,6.248671858883294,1.026,1.023,[0.03  0.02  0.03  ... 0.03  0.03  0.015],[0.015 0.02  0.01  ... 0.03  0.02  0.03 ]
2023-12-15,256,left,4,0,30,80,30,OT,26.535,22.09,16.367098093431224,1.026,1.021,[0.025 0.025 0.025 ... 0.04  0.025 0.03 ],[0.025 0.02  0.035 ... 0.015 0.03  0.025]
2023-12-15,256,left,5,0,30,80,30,OT,34.665,25.135,20.293269204344572,1.026,1.021,[0.02  0.02  0.02  ... 0.025 0.015 0.03 ],[0.02 0.04 0.04 ... 0.01 0.01 0.03]
2023-12-15,256,left,8,0,30,80,30,OT,34.65,25.105,20.290243345016837,1.026,1.019,[0.02  0.02  0.03  ... 0.035 0.015 0.03 ],[0.03  0.035 0.025 ... 0.015 0.005 0.02 ]
2023-12-15,256,left,9,0,30,80,30,OT,27.41,16.66,16.0684286723998,1.026,1.019,[0.025 0.035 0.02  ... 0.03  0.035 0.03 ],[0.005 0.    0.02  ... 0.01  0.005 0.01 ]
2023-12-15,256,left,10,0,30,80,30,OT,25.98,15.805,15.045164505581186,1.026,1.019,[0.02  0.01  0.01  ... 0.025 0.025 0.04 ],[0.015 0.    0.015 ... 0.01  0.005 0.   ]
2023-12-15,256,left,11,0,30,80,30,OT,23.285,16.585,13.5835479533147,1.026,1.021,[0.005 0.005 0.015 ... 0.01  0.005 0.02 ],[0.015 0.02  0.02  ... 0.02  0.    0.01 ]
2023-12-15,256,left,12,0,30,80,30,OT,18.18,10.58,3.670640271124372,1.018,1.007,[0.02  0.025 0.005 ... 0.01  0.    0.01 ],[0.015 0.    0.01  ... 0.025 0.01  0.005]
2023-12-15,256,left,13,0,30,80,30,OT,22.045,13.565,4.035563777218743,1.016,1.006,[0.005 0.02  0.005 ... 0.015 0.015 0.01 ],[0.01  0.005 0.005 ... 0.01  0.015 0.035]
2023-12-15,256,left,15,0,30,80,30,OT,15.475,7.26,4.469049115863463,1.028,1.015,[0.    0.02  0.005 ... 0.005 0.    0.005],[0.01  0.005 0.005 ... 0.005 0.01  0.   ]
2023-12-15,256,left,16,0,30,80,30,OT,16.87,8.19,5.8209878886663216,1.026,1.016,[0.005 0.005 0.02  ... 0.015 0.005 0.02 ],[0.005 0.005 0.015 ... 0.015 0.005 0.005]
2023-12-21,256,left,1,0,20,100,20,OT,130.535,18.58,10.8781248384085,1.025,1.007,[0.01  0.045 0.015 ... 0.01  0.005 0.02 ],[0.03 0.02 0.01 ... 0.02 0.03 0.01]
2023-12-21,256,left,2,0,20,100,20,OT,17.44,12.93,9.80638057593116,1.024,1.019,[0.02  0.005 0.01  ... 0.01  0.005 0.015],[0.01  0.015 0.02  ... 0.02  0.01  0.01 ]
