date,owl,hemisphere,channel,azi,ele,azi_competitor,ele_competitor,region,stimulus_resp,base_resp,base_std,maxresp_latency,firstspk_latency,psth_driver,psth_competitor
2023-12-16,256,left,1,0,30,80,30,OT,27.59,13.78,10.380828483314808,1.036,1.028,[0.01  0.02  0.005 ... 0.005 0.015 0.02 ],[0.02  0.005 0.01  ... 0.03  0.015 0.02 ]
2023-12-16,256,left,2,0,30,80,30,OT,10.565,7.74,3.285178838358728,1.034,1.029,[0.015 0.01  0.01  ... 0.005 0.01  0.015],[0.01  0.    0.005 ... 0.015 0.    0.01 ]
2023-12-16,256,left,4,0,30,80,30,OT,18.29,8.535,7.299916095408221,1.035,1.03,[0.015 0.005 0.005 ... 0.02  0.015 0.01 ],[0.01  0.005 0.02  ... 0.035 0.015 0.01 ]
2023-12-16,256,left,5,0,30,80,30,OT,32.96,16.81,12.7316102673621,1.035,1.028,[0.01  0.015 0.    ... 0.01  0.01  0.02 ],[0.015 0.025 0.015 ... 0.055 0.02  0.025]
2023-12-16,256,left,8,0,30,80,30,OT,34.82,17.62,13.37854999616924,1.034,1.029,[0.01  0.015 0.01  ... 0.01  0.01  0.015],[0.02  0.03  0.015 ... 0.05  0.035 0.03 ]
2023-12-16,256,left,9,0,30,80,30,OT,45.875,14.9,12.448293055676348,1.032,1.027,[0.01  0.015 0.02  ... 0.015 0.015 0.01 ],[0.01  0.01  0.02  ... 0.04  0.02  0.015]
2023-12-16,256,left,10,0,30,80,30,OT,43.24,13.65,11.547185804342114,1.031,1.026,[0.01  0.01  0.005 ... 0.01  0.02  0.005],[0.005 0.01  0.02  ... 0.045 0.03  0.015]
2023-12-16,256,left,11,0,30,80,30,OT,41.915,20.525,13.773502640940684,1.036,1.028,[0.01  0.025 0.01  ... 0.01  0.015 0.02 ],[0.035 0.01  0.015 ... 0.035 0.025 0.02 ]
2023-12-16,256,left,14,0,30,80,30,OT,8.715,5.635,2.758944544567723,1.034,1.031,[0.01  0.015 0.005 ... 0.025 0.005 0.02 ],[0.005 0.005 0.    ... 0.005 0.    0.005]
2023-12-16,256,left,15,0,30,80,30,OT,17.0,6.105,3.071477657415076,1.028,1.026,[0.    0.    0.01  ... 0.01  0.005 0.   ],[0.01  0.005 0.01  ... 0.005 0.    0.01 ]
2023-12-16,256,left,16,0,30,80,30,OT,8.91,4.69,2.6218123502646025,1.035,1.028,[0.01  0.015 0.    ... 0.005 0.01  0.   ],[0.    0.    0.    ... 0.005 0.01  0.   ]
2023-12-22,256,left,1,0,20,100,20,OT,27.735,13.26,5.561690390519774,1.026,1.025,[0.03  0.01  0.005 ... 0.005 0.    0.   ],[0.02  0.005 0.015 ... 0.025 0.015 0.01 ]
2023-12-22,256,left,2,0,20,100,20,OT,30.81,13.69,9.851593779688644,1.028,1.022,[0.01  0.01  0.005 ... 0.02  0.01  0.01 ],[0.01  0.015 0.    ... 0.01  0.025 0.015]
2023-12-22,256,left,3,0,20,100,20,OT,17.24,10.87,6.184100581329512,1.033,1.028,[0.02  0.005 0.015 ... 0.01  0.025 0.005],[0.005 0.01  0.005 ... 0.015 0.01  0.005]
2023-12-22,256,left,4,0,20,100,20,OT,34.125,20.05,4.830890187118726,1.026,1.015,[0.02  0.015 0.02  ... 0.025 0.005 0.025],[0.01  0.03  0.015 ... 0.025 0.025 0.01 ]
2023-12-22,256,left,5,0,20,100,20,OT,71.175,21.575,12.435609152751626,1.026,1.025,[0.03  0.025 0.03  ... 0.01  0.01  0.005],[0.015 0.015 0.01  ... 0.02  0.015 0.015]
2023-12-22,256,left,6,0,20,100,20,OT,27.095,16.98,10.729846224433974,1.033,1.028,[0.01  0.015 0.005 ... 0.02  0.03  0.025],[0.015 0.005 0.015 ... 0.025 0.02  0.   ]
2023-12-22,256,left,7,0,20,100,20,OT,30.925,17.775,11.031064091917878,1.034,1.026,[0.015 0.005 0.01  ... 0.01  0.015 0.005],[0.005 0.01  0.005 ... 0.035 0.02  0.03 ]
2023-12-22,256,left,8,0,20,100,20,OT,56.32,15.31,11.0853010784552,1.026,1.025,[0.015 0.015 0.    ... 0.005 0.02  0.   ],[0.01  0.01  0.015 ... 0.01  0.025 0.01 ]
2023-12-22,256,left,9,0,20,100,20,OT,12.64,6.665,2.802280321452513,1.025,1.015,[0.025 0.005 0.    ... 0.01  0.01  0.005],[0.    0.    0.005 ... 0.    0.01  0.02 ]
2023-12-22,256,left,10,0,20,100,20,OT,13.54,7.46,2.882429530795159,1.026,1.014,[0.02  0.01  0.005 ... 0.005 0.    0.   ],[0.015 0.    0.    ... 0.01  0.025 0.02 ]
2023-12-22,256,left,11,0,20,100,20,OT,18.71,7.775,4.084651147895007,1.026,1.025,[0.01  0.    0.005 ... 0.01  0.    0.   ],[0.005 0.005 0.01  ... 0.    0.005 0.01 ]
2023-12-22,256,left,12,0,20,100,20,OT,20.315,7.11,2.9219685145463155,1.016,1.015,[0.005 0.    0.02  ... 0.005 0.01  0.005],[0.    0.    0.    ... 0.005 0.    0.005]
2023-12-22,256,left,13,0,20,100,20,OT,32.94,10.845,3.5129723881636186,1.015,1.013,[0.02  0.01  0.005 ... 0.025 0.015 0.   ],[0.01  0.025 0.    ... 0.015 0.01  0.005]
2023-12-22,256,left,14,0,20,100,20,OT,24.65,17.395,9.74161049313716,1.034,1.028,[0.015 0.01  0.005 ... 0.015 0.02  0.02 ],[0.01  0.01  0.015 ... 0.025 0.025 0.005]
2023-12-22,256,left,15,0,20,100,20,OT,20.91,11.265,3.453226751894523,1.017,1.015,[0.025 0.015 0.    ... 0.01  0.01  0.015],[0.015 0.005 0.02  ... 0.015 0.03  0.03 ]
2023-12-25,40,right,1,-80,10,0,10,OT,43.29,16.33,12.95380639040124,1.039,1.034,[0.01  0.005 0.01  ... 0.01  0.015 0.005],[0.02  0.01  0.005 ... 0.02  0.015 0.02 ]
2023-12-25,40,right,2,-80,10,0,10,OT,61.82,24.225,17.62624109105512,1.039,1.033,[0.02  0.    0.005 ... 0.005 0.015 0.03 ],[0.03  0.02  0.03  ... 0.02  0.025 0.04 ]
2023-12-25,40,right,3,-80,10,0,10,OT,42.06,16.97,13.833983518856742,1.039,1.034,[0.01  0.01  0.02  ... 0.    0.015 0.01 ],[0.005 0.005 0.015 ... 0.02  0.01  0.005]
2023-12-25,40,right,4,-80,10,0,10,OT,39.435,16.16,12.747721365012652,1.044,1.032,[0.    0.01  0.01  ... 0.005 0.02  0.02 ],[0.015 0.02  0.02  ... 0.005 0.01  0.005]
2023-12-25,40,right,5,-80,10,0,10,OT,35.805,14.76,10.706652137806664,1.038,1.033,[0.01  0.01  0.    ... 0.005 0.02  0.   ],[0.005 0.015 0.005 ... 0.01  0.015 0.01 ]
2023-12-25,40,right,6,-80,10,0,10,OT,32.575,12.745,11.335782946051852,1.04,1.034,[0.025 0.    0.005 ... 0.01  0.015 0.01 ],[0.015 0.005 0.025 ... 0.005 0.02  0.01 ]
2023-12-25,40,right,7,-80,10,0,10,OT,37.34,15.215,11.251612106716086,1.039,1.033,[0.025 0.015 0.01  ... 0.01  0.    0.005],[0.015 0.01  0.015 ... 0.015 0.02  0.005]
2023-12-25,40,right,8,-80,10,0,10,OT,44.99,16.45,13.688590139236398,1.04,1.033,[0.005 0.005 0.005 ... 0.005 0.01  0.02 ],[0.03  0.01  0.015 ... 0.005 0.01  0.01 ]
